Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joel Embiid,PHI,C,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7
2,Luka Doncic,DAL,PG,70,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13,0.573,0.573,6.8,8.7,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9
3,Giannis Antetokounmpo,MIL,PF,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4
4,Shai Gilgeous-Alexander,OKC,PG,75,75,34,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1
5,Jalen Brunson,NYK,PG,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7
6,Kevin Durant,PHO,PF,75,75,37.2,10,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.5,6.1,6.6,5,0.9,1.2,3.3,1.8,27.1
7,Devin Booker,PHO,PG,68,68,36,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1
8,Jayson Tatum,BOS,PF,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9
9,Donovan Mitchell,CLE,SG,55,55,35.3,9.1,19.8,0.462,3.3,9,0.368,5.8,10.8,0.539,0.545,5,5.8,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6
10,De'Aaron Fox,SAC,PG,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6
11,Stephen Curry,GSW,PG,74,74,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4,7.7,0.515,0.573,4,4.4,0.5,4,4.5,5.1,0.7,0.4,2.8,1.6,26.4
